repeat,tree_idx,split_prop,train_sites,test_sites,total_selected_sites,mean_abs_diff,median_abs_diff,max_abs_diff,mean_rel_diff,median_rel_diff,max_rel_diff,pct_rel_diff_gt_0.1,pct_rel_diff_gt_0.2,mean_train_dist,mean_test_dist
0,0,0.5,25,25,50,1.0186715407915459,0.9487583730494884,4.242640687119285,0.25414432761971784,0.23623738417402662,1.0,0.8081407035175879,0.5896482412060301,3.088801063796148,4.038293798031185
0,0,0.5,50,50,100,0.7123001181790298,0.5857864376269049,4.47213595499958,0.13516128988022336,0.10557280900008416,1.0,0.5265829145728643,0.21773869346733668,4.939430897971485,5.469424957026334
0,0,0.5,100,100,200,0.5859901095089103,0.5075597534765954,3.4641016151377544,0.07816026939402242,0.06140936455109409,1.0,0.27,0.0428643216080402,7.8156960486027485,7.861116169471681
0,0,0.5,150,150,300,0.6664439511494835,0.5722905870834385,4.0,0.07391689238439925,0.0579278159291615,1.0,0.24889447236180903,0.043266331658291454,9.656319008328415,9.273349491581234
0,0,0.5,200,200,400,0.6602412350542999,0.5552707207871741,4.0,0.06397645428098585,0.04847206798465159,1.0,0.18477386934673368,0.031708542713567836,10.923498835584871,11.09381600520783
0,0,0.5,250,250,500,0.5971953556260298,0.49880810499547934,3.503305753449842,0.05216897149371463,0.039856781516424064,1.0,0.11301507537688442,0.01879396984924623,12.3103656342579,12.030073414243192
1,0,0.5,25,25,50,0.5199161878351765,0.42684353056677615,3.0579223926264847,0.1333809991881256,0.09546596626670925,1.0,0.4964824120603015,0.20271356783919597,3.9008482071896986,3.8786374225631857
1,0,0.5,50,50,100,1.0211737414708535,0.9066538088964995,4.69041575982343,0.16976869067530026,0.151471862576143,1.0,0.6984422110552764,0.33477386934673364,5.084799218026175,6.001980040700581
1,0,0.5,100,100,200,0.8670766632956863,0.7823299831252681,4.0,0.1149257969973912,0.09649209709474872,1.0,0.47919597989949747,0.15246231155778894,7.3076234839243135,7.948717715635605
1,0,0.5,150,150,300,0.7526970863347228,0.6179159801562921,3.8309518948453007,0.08567512884743168,0.06256313343890794,1.0,0.3120100502512563,0.08015075376884422,9.094743069169702,9.435935112074972
1,0,0.5,200,200,400,0.7507137200270311,0.6748988805493585,3.4641016151377544,0.07206591506630165,0.06159869196309562,1.0,0.25326633165829143,0.02236180904522613,10.995905632137148,10.580668682409478
1,0,0.5,250,250,500,0.6699947245593232,0.5885935450898501,3.1622776601683795,0.05800360977768015,0.04653741075440768,1.0,0.14532663316582914,0.01778894472361809,11.968312987995457,12.369387426240316
2,0,0.5,25,25,50,0.6652751037801361,0.5358983848622456,3.484765923193261,0.15182560802526024,0.11808289631180308,1.0,0.5726130653266331,0.26899497487437185,4.304403601628835,4.034414098603512
2,0,0.5,50,50,100,0.684036910000308,0.5793797266055618,4.47213595499958,0.1389208530177024,0.11359473957208167,1.0,0.5562311557788945,0.23688442211055277,4.853918105290542,4.758318023876809
2,0,0.5,100,100,200,0.6489128843302885,0.530208324920979,3.1715728752538097,0.08726866028979142,0.06630043815214755,1.0,0.3282412060301508,0.07889447236180905,7.798608015579351,7.479336045826626
2,0,0.5,150,150,300,0.6934926354662991,0.6112735002267584,3.4641016151377544,0.07639793124629635,0.06256313343890792,1.0,0.27035175879396983,0.04105527638190955,9.288759801289194,9.54548773554583
2,0,0.5,200,200,400,0.564979293589837,0.47148540001892414,2.779857907030183,0.05515443079579275,0.043186038068800524,1.0,0.12738693467336684,0.015025125628140703,10.88244172481716,10.633164863266737
2,0,0.5,250,250,500,0.7246713360127501,0.613742002768479,3.8298702103753914,0.06313601847203262,0.04881026878865815,1.0,0.20055276381909548,0.022814070351758794,12.474090691625964,11.860415799201565
3,0,0.5,25,25,50,0.7054791087177562,0.6356744903915641,4.0,0.16847624138096767,0.1471971345775583,1.0,0.6588442211055276,0.33798994974874375,4.044262353997097,3.6887359963167397
3,0,0.5,50,50,100,0.5693459489360617,0.4936034254914583,3.1622776601683795,0.10396722336155528,0.08348486100883201,1.0,0.4155276381909548,0.10346733668341708,5.712863861901504,5.467227671259608
3,0,0.5,100,100,200,0.6863765459606038,0.6010868623057517,3.1010205144336442,0.09644920549786212,0.07417990022744866,1.0,0.3768844221105528,0.10040201005025126,7.7107736204374095,7.34769576419256
3,0,0.5,150,150,300,0.6629184071953451,0.5661392452242664,3.4641016151377544,0.07287523163760054,0.0606635633722758,1.0,0.2663316582914573,0.022311557788944725,9.196953421510536,9.201279491808366
3,0,0.5,200,200,400,0.6431015267830908,0.5263750640305584,3.1101399224590214,0.0628792811809165,0.04802836176701158,1.0,0.18989949748743717,0.021256281407035175,10.835904404198788,10.690803331652145
3,0,0.5,250,250,500,0.6370112480187935,0.5444244452398088,3.077141677891852,0.05441622084125881,0.04439108415266374,1.0,0.12527638190954773,0.00984924623115578,12.121367844007844,12.21824608314775
4,0,0.5,25,25,50,1.29373262245218,1.2263141446856753,4.898979485566356,0.3537398345850526,0.3258001375367579,1.0,0.8757788944723618,0.718391959798995,2.541290131803758,3.783699724128629
